Year,Month,date,any_images,any_cloudfree,image_ID,image_ID_20,have,get,priority,Greensboro,notes,clouds
,,11/11/2017,,TRUE,20171111_155118_0f4d,20171111_155118_0f4d,TRUE,,,TRUE,,
,,11/11/2017,,TRUE,20171111_155117_0f4d,20171111_155117_0f4d,TRUE,,,TRUE,,
,,11/11/2017,,TRUE,20171111_155116_0f4d,20171111_155116_0f4d,TRUE,,,TRUE,,
,,11/11/2017,,TRUE,20171111_155114_0f4d,20171111_155114_0f4d,TRUE,,,TRUE,,
2017,November,11/12/2017,TRUE,FALSE,,,,,,,,
2017,November,11/13/2017,TRUE,FALSE,,,,,,,,
2017,November,11/14/2017,TRUE,FALSE,,,,,,,,
2017,November,11/15/2017,,TRUE,20171115_154650_1052,20171115_154650_1052,TRUE,,,TRUE,,
,,11/15/2017,,TRUE,20171115_154649_1052,20171115_154649_1052,TRUE,,,TRUE,,
,,11/15/2017,,TRUE,20171115_154648_1052,20171115_154648_1052,TRUE,,,TRUE,,
2017,November,11/16/2017,,TRUE,20171116_154908_0f2e,20171116_154908_0f2e,,,,,very top of AOI,
,,11/16/2017,,TRUE,20171116_154907_0f2e,20171116_154907_0f2e,,,,,,
,,11/16/2017,,TRUE,20171116_154906_0f2e,20171116_154906_0f2e,,,,,,
,,11/16/2017,,TRUE,20171116_154905_0f2e,20171116_154905_0f2e,,,,,,
2017,November,11/17/2017,,TRUE,20171117_151027_1005,20171117_151027_1005,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_151028_1005,20171117_151028_1005,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_154717_104c,20171117_154717_104c,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_154718_104c,20171117_154718_104c,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_154719_104c,20171117_154719_104c,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_183952_0f06,20171117_183952_0f06,,get,bad,TRUE,no sr image,
,,11/17/2017,,TRUE,20171117_154720_104c,20171117_154720_104c,,get,low,TRUE,very top of AOI,
,,11/17/2017,,TRUE,20171117_154716_104c,20171117_154716_104c,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_151030_1005,20171117_151030_1005,,,,,,
,,11/17/2017,,TRUE,20171117_151029_1005,20171117_151029_1005,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_151026_1005,20171117_151026_1005,TRUE,,,TRUE,,
,,11/17/2017,,TRUE,20171117_151025_1005,20171117_151025_1005,,get,low,TRUE,very top of AOI,
2017,November,11/20/2017,,TRUE,20171120_150952_0f12,20171120_150952_0f12,TRUE,,,,not in newer query,
,,11/20/2017,,TRUE,20171120_150953_0f12,20171120_150953_0f12,TRUE,,,TRUE,,
,,11/20/2017,,TRUE,20171120_150954_0f12,20171120_150954_0f12,TRUE,,,TRUE,,
,,11/20/2017,,TRUE,20171120_150955_0f12,20171120_150955_0f12,TRUE,,,TRUE,,
,,11/20/2017,,TRUE,20171120_150957_0f12,20171120_150957_0f12,,,,,,
2017,November,11/21/2017,,TRUE,20171121_151033_100e,20171121_151033_100e,TRUE,,,TRUE,,
,,11/21/2017,,TRUE,20171121_151034_100e,20171121_151034_100e,TRUE,,,TRUE,,visible wispy clouds
,,11/21/2017,,TRUE,20171121_151035_100e,20171121_151035_100e,TRUE,,,TRUE,,visible wispy clouds
2017,November,11/22/2017,TRUE,FALSE,,,,,,,,
2017,November,11/23/2017,TRUE,FALSE,,,,,,,,
2017,November,11/24/2017,,TRUE,20171124_154939_0f29,20171124_154939_0f29,TRUE,,,TRUE,,
,,11/24/2017,,TRUE,20171124_154940_0f29,20171124_154940_0f29,TRUE,,,TRUE,,
,,11/24/2017,,TRUE,20171124_154948_0f29,20171124_154948_0f29,TRUE,,,,not in newer query,
,,11/24/2017,,TRUE,20171124_154937_0f29,20171124_154937_0f29,TRUE,,,TRUE,,
,,11/24/2017,,TRUE,20171124_154938_0f29,20171124_154938_0f29,TRUE,,,TRUE,,
2017,November,11/25/2017,TRUE,FALSE,,,,,,,,
2017,November,11/26/2017,TRUE,FALSE,,,,,,,,
2017,November,11/27/2017,,TRUE,20171127_155010_0f2b,20171127_155010_0f2b,,,,,,
,,11/27/2017,,TRUE,20171127_155011_0f2b,20171127_155011_0f2b,,,,,,
,,11/27/2017,,TRUE,20171127_155012_0f2b,20171127_155012_0f2b,,,,,,
,,11/27/2017,,TRUE,20171127_155013_0f2b,20171127_155013_0f2b,,,,,,
2017,November,11/29/2017,,TRUE,20171129_192251_1_0c79,20171129_192251_1_0c,,,,TRUE,test quality,
,,11/29/2017,,TRUE,20171129_192250_0c79,20171129_192250_0c79,,,,TRUE,test quality,
,,11/29/2017,,TRUE,20171129_192249_0c79,20171129_192249_0c79,,,,TRUE,test quality,
,,11/29/2017,,TRUE,20171129_192249_1_0c79,20171129_192249_1_0c,,,,TRUE,test quality,
,,11/29/2017,,TRUE,20171129_192248_0c79,20171129_192248_0c79,,,,TRUE,test quality,
,,11/29/2017,,TRUE,20171129_192247_1_0c79,20171129_192247_1_0c,,,,,test quality,
,,11/29/2017,,TRUE,20171129_192247_0c79,20171129_192247_0c79,,,,,test quality,
,,11/29/2017,,TRUE,20171129_192246_0c79,20171129_192246_0c79,,,,,test quality,
,,11/29/2017,,TRUE,20171129_192245_0c79,20171129_192245_0c79,,,,,test quality,
2017,November,11/30/2017,TRUE,FALSE,20171130_151006_102c,20171130_151006_102c,TRUE,,,,,
2017,December,12/1/2017,,TRUE,20171201_184338_0c82,20171201_184338_0c82,,get,bad,TRUE,,
,,12/1/2017,,TRUE,20171201_184337_0c82,20171201_184337_0c82,,get,bad,TRUE,,
,,12/1/2017,,TRUE,20171201_184336_0c82,20171201_184336_0c82,,get,bad,TRUE,,
,,12/1/2017,,TRUE,20171201_184335_1_0c82,20171201_184335_1_0c,,get,bad,TRUE,,
,,12/1/2017,,TRUE,20171201_184335_0c82,20171201_184335_0c82,,get,bad,TRUE,,
